species	Disease_outcome	effect	group	D.0.1	D.0.2	D.0.3	D.0.5	D.3.1	D.3.2	D.3.3	D.3.5	D.4.1	D.4.2	D.4.3	D.4.5	D.5.1	D.5.2	D.5.3	D.5.5	D.6.1	D.6.2	D.6.3	D.6.5
Sulfitobacter phage pCB2047-C	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0.007940948	0.007940948	0.008888889	0.018104118	0	0.004444444	0.003496503	0.004444444	0.007940948	0.009215229	0.011437451	0.005718726	0.005718726	0	0.005718726	0
Sulfitobacter sp. CB2047	Diseased	Primary-bacterial-effect	inhibitor_bacteria	0.018072289	0.026418842	0.018743977	0.015785397	0.022932076	0.014194535	0.018004251	0.032413142	0.010323848	0.007885665	0.02663379	0.015731929	0.00887574	0.022853406	0.02203316	0.003401361	0.016311139	0.018198151	0.010506717	0.010611372
Synechococcus phage ACG-2014b	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0	0.003367003	0.006734007	0.003367003	0	0.003367003	0	0	0	0	0	0	0	0	0.003367003	0	0	0	0	0
Synechococcus phage ACG-2014c	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.005110733	0.00681431	0.003407155	0.011925043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Synechococcus phage ACG-2014f	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.024691358	0.00617284	0.00617284	0.00617284	0	0.002057613	0.006006006	0	0	0	0	0	0.003003003	0	0.006006006	0.003003003	0.003003003	0	0	0.006006006
Synechococcus phage ACG-2014i	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.014159103	0.011478138	0.008042895	0.008797173	0	0.006116208	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Synechococcus phage ACG-2014j	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0.015384615	0	0	0	0	0	0	0	0	0	0	0.005128205	0	0	0	0
Synechococcus phage S-CAM8	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.031655035	0.011257893	0.050265869	0.015827517	0	0.0080179	0.004569624	0.004569624	0.007970985	0	0.004569624	0.004569624	0.016986181	0.013192878	0.006849636	0.004569624	0.002118644	0.015873943	0.006688269	0.004237288
Synechococcus phage S-CBP42	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.003745318	0	0.007490637	0.003745318	0	0	0	0	0	0	0.003745318	0	0.003745318	0	0	0	0	0	0	0
Synechococcus phage S-PM2	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.028374185	0.011606182	0	0	0.007220217	0	0	0	0.003610108	0	0.003389831	0	0.003610108	0.007220217	0	0.007220217	0	0	0.003610108	0
Synechococcus phage S-RIM2	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.006269592	0.022699828	0.003134796	0.003134796	0	0.003134796	0.003891051	0	0	0	0	0	0	0	0.003134796	0.003846154	0	0	0	0.010160643
Synechococcus phage S-ShM2	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.042086046	0.034273546	0.027168669	0.036403576	0	0.001302083	0	0	0	0	0	0	0	0	0	0.002604167	0	0	0	0
Synechococcus phage S-SKS1	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.027565237	0.006026776	0.020776038	0.023852961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Synechococcus phage S-SSM7	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0	0	0	0	0.003508772	0	0	0	0	0.006756757	0.003508772	0	0	0	0	0.003378378
Synechococcus phage Syn19	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.004889976	0	0	0.002444988	0	0	0	0	0	0.002444988	0	0	0	0	0.002444988	0	0	0	0	0
Synechococcus sp. WH 7803	Diseased	Primary-bacterial-effect	inhibitor_bacteria	0.09040065	0.036829135	0.042617952	0.047621865	0.100974546	0.041857613	0.038356262	0.067902696	0.064856453	0.087097922	0.063657753	0.067236238	0.073508653	0.061360978	0.100135036	0.095218935	0.065158839	0.071793505	0.08273343	0.075150193
Synechococcus sp. WH 8102	Diseased	Primary-bacterial-effect	inhibitor_bacteria	0.007056814	0.003802281	0.025989472	0.003134796	0.016603031	0.015503876	0.014463347	0.015570944	0.011116084	0.003875969	0.003731343	0.010963017	0	0.012582437	0.023776467	0.011409594	0.003355705	0.030195487	0.021737864	0.014983612
Synechococcus sp. WH 8109	Diseased	Primary-bacterial-effect	inhibitor_bacteria	0.022175025	0.002808989	0.008426966	0	0.0266217	0.015025834	0.002808989	0.020294458	0.016123854	0.015952037	0.016788559	0.020768429	0.007976468	0.019466311	0.017778694	0.016936459	0.020212673	0.025051317	0.005167479	0.016527855
Vibrio alginolyticus	Diseased	Primary-bacterial-effect	inhibitor_bacteria	0.083031111	0.047119419	0.046087583	0.042869091	0.088465455	0.045326658	0.071497068	0.076279672	0.084852591	0.074957126	0.091674436	0.063199201	0.068818552	0.068409263	0.062965636	0.058359606	0.098670558	0.036607081	0.047766149	0.077103692
Vibrio cholerae	Diseased	Primary-bacterial-effect	inhibitor_bacteria	0.541472699	0.252486328	0.285442274	0.283447418	0.51836645	0.422833417	0.448753977	0.48372615	0.439241287	0.445152198	0.55518506	0.39023535	0.495560417	0.420803471	0.654084392	0.45474297	0.406462763	0.432192337	0.434496572	0.444246221
Vibrio parahaemolyticus	Diseased	Primary-bacterial-effect	facilitator_bacteria	0.258282857	0.157178435	0.118413282	0.175239981	0.212998936	0.15524438	0.494156115	0.20834269	0.233927809	0.21918383	0.26986217	0.213770041	0.160675841	0.193643388	0.355390772	0.280400787	0.174794816	0.188011909	0.235879755	0.188848438
Vibrio phage CP-T1	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.006079027	0	0.000819672	0.003859186	0.000819672	0.000819672	0	0.001639344	0	0.000819672	0	0	0	0	0	0	0.002459016	0	0	0
Vibrio phage ICP2	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.018735347	0.007984032	0.007984032	0.005842162	0.011521792	0.010518407	0.003756574	0.010846481	0.010518407	0.011269722	0.003756574	0.004507889	0.014274981	0.012273107	0.011269722	0.007513148	0.007765218	0.012525176	0.020377012	0.011269722
Vibrio phage phi-A318	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0.010638298	0	0	0	0	0.007092199	0	0	0	0.003546099	0.003546099	0	0.003546099	0.003546099	0	0.003546099
Vibrio phage qdvp001	Diseased	Secondary-phage-effect	facilitator_associated_phage	0.002219756	0	0.003329634	0.002219756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vibrio phage vB_VchM-138	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.018133569	0.016768808	0	0.013383485	0	0	0	0	0.003424658	0	0	0.002197802	0	0	0	0	0	0	0	0
Vibrio phage VpKK5	Diseased	Secondary-phage-effect	facilitator_associated_phage	0.128397921	0.056647854	0.06691515	0.082235793	0.021667652	0.023638063	0.010341824	0.032924935	0.012435659	0.016147101	0.006251535	0.017225574	0.010893848	0.016545602	0.015934446	0.004819405	0.017558679	0.013646707	0.018156409	0.024641549
Vibrio phage VPp1	Diseased	Secondary-phage-effect	facilitator_associated_phage	0.003484321	0.006968641	0	0.006968641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xanthomonas campestris	Diseased	Primary-bacterial-effect	inhibitor_bacteria	3.383384382	1.533530582	1.524369692	1.775382542	3.550633249	2.605234405	2.785789335	3.201880248	2.644736536	2.720378633	3.098599898	2.665498108	2.51669148	2.829536186	3.919473755	2.868249324	2.244082051	2.408148503	2.517420729	2.372767993
Xanthomonas phage phiL7	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.001872659	0	0.003745318	0.003745318	0	0.001872659	0	0.001872659	0	0	0.001872659	0	0	0	0	0	0	0	0	0.001872659
Xanthomonas phage Xp15	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.022146119	0	0.00966301	0.008127139	0.013928518	0	0.01369863	0.015020428	0.016288921	0.020803467	0.007311053	0.005378248	0.018302532	0.006630777	0.00966301	0.012747622	0.002638522	0.010215006	0.011947645	0.012646401
Yersinia enterocolitica	Diseased	Primary-bacterial-effect	inhibitor_bacteria	0.284086561	0.150937008	0.143013691	0.146964193	0.110813508	0.10827339	0.120201246	0.178515989	0.138540505	0.171270523	0.210299403	0.158588381	0.143852579	0.118252695	0.180285291	0.116711415	0.152181086	0.099380094	0.155405449	0.143852317
Yersinia phage vB_YenM_TG1	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0	0.002624672	0	0	0.002624672	0	0.002624672	0	0	0	0	0	0	0.002624672	0	0	0	0	0	0
Yersinia phage vB_YenP_AP5	Diseased	Secondary-phage-effect	inhibitor_associated_phage	0.033072237	0.010443864	0.007832898	0.01305483	0.00435161	0.000870322	0.001740644	0.001740644	0	0	0	0.000870322	0.000870322	0.000870322	0	0.000870322	0	0.001740644	0.000870322	0.001740644
