species	Disease_outcome	effect	group	H.0.2	H.0.3	H.0.4	H.0.5	H.3.2	H.3.3	H.3.4	H.3.5	H.4.2	H.4.3	H.4.4	H.4.5	H.5.2	H.5.3	H.5.4	H.5.5	H.6.2	H.6.3	H.6.4	H.6.5
Synechococcus phage ACG-2014i	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.005739069	0.008797173	0.014536242	0.013781965	0.003058104	0	0	0	0	0	0.002680965	0	0	0	0	0	0	0.00536193	0	0
Synechococcus phage ACG-2014j	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0	0.01025641	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Synechococcus phage S-CAM8	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.006688269	0.011257893	0.012540609	0.03188394	0.002118644	0.002118644	0.023823816	0.002118644	0.004385965	0	0.007902958	0.009139249	0.049933533	0.024569624	0.003448276	0.01059322	0.020273089	0.011466176	0.009015196	0.016986181
Synechococcus phage S-CBP42	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.007490637	0.003745318	0.011235955	0.003745318	0.003745318	0.003745318	0.003745318	0	0	0	0	0	0	0	0	0	0	0	0	0
Synechococcus phage S-PM2	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.004385965	0.007220217	0.025826337	0.019381977	0.01716943	0	0	0.010830325	0.007220217	0.007220217	0	0.007220217	0	0.003610108	0.010830325	0	0.007220217	0.003610108	0.003610108	0.010389769
Synechococcus phage S-RIM2	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.009404389	0.003134796	0.009404389	0	0	0.003891051	0	0	0	0	0	0	0	0	0	0	0	0	0.003891051	0
Synechococcus phage S-RIP2	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0	0	0.006779661	0	0.006779661	0	0	0.010169492	0.010169492	0.003389831	0	0.010169492	0.010169492	0.003389831	0.003389831	0.006779661
Synechococcus phage S-RSM4	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.013756614	0.038665039	0.00968661	0.015954416	0.005291005	0.004232804	0.011640212	0.005291005	0.005291005	0.006349206	0.014814815	0.017989418	0.012698413	0.006349206	0.007407407	0.004232804	0.004232804	0.012698413	0.006349206	0.016931217
Synechococcus phage S-ShM2	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.031609742	0.040584982	0.023585021	0.030306609	0	0	0	0	0	0.004140787	0	0	0	0	0.003289474	0	0	0.004140787	0	0
Synechococcus phage S-SSM7	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.003508772	0	0	0	0	0	0	0	0.010395922	0	0	0	0.003378378	0	0	0	0	0	0.014035088	0
Synechococcus phage Syn19	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.027434064	0.009779951	0.014939526	0.018472208	0	0.009779951	0	0	0.002444988	0	0	0	0	0.004889976	0.002444988	0	0	0.002444988	0	0
Synechococcus sp. WH 7803	Healthy	Primary-bacterial-effect	inhibitor_bacteria	0.017938009	0.02927065	0.023890372	0.028349333	0.070452081	0.058931032	0.070616609	0.060435598	0.076018894	0.071908456	0.062069607	0.073990219	0.076847336	0.068295516	0.059981607	0.082931477	0.08530569	0.087253545	0.082595965	0.079187388
Synechococcus sp. WH 8102	Healthy	Primary-bacterial-effect	inhibitor_bacteria	0.003731343	0	0.013480723	0.022293578	0.003355705	0	0.021057891	0.034369462	0.027867999	0.011107643	0.015430188	0.018714955	0.023646536	0.011627907	0.014925373	0.013336097	0.031806779	0.017298788	0.027867999	0.038314935
Synechococcus sp. WH 8109	Healthy	Primary-bacterial-effect	inhibitor_bacteria	0.005420054	0.008130081	0.005420054	0.008130081	0.012611342	0.013216803	0.010334959	0.022478942	0.008048874	0.002808989	0.018113054	0.012710176	0.03229992	0.009901187	0.021350577	0.008812091	0.024076849	0.020081183	0.018859987	0.013547499
Vibrio alginolyticus	Healthy	Primary-bacterial-effect	inhibitor_bacteria	0.037569452	0.051793807	0.040748629	0.068815808	0.055443521	0.065483273	0.077621995	0.076825516	0.066410639	0.043228956	0.070698961	0.051304246	0.047717213	0.068780037	0.054357055	0.058061181	0.089406474	0.057428334	0.057537243	0.098268107
Vibrio cholerae	Healthy	Primary-bacterial-effect	inhibitor_bacteria	0.291046044	0.344832081	0.264277537	0.24133687	0.374079716	0.421074353	0.473191308	0.605213338	0.413983894	0.542685763	0.52298291	0.396368656	0.424332588	0.438214604	0.398830397	0.452356555	0.512585419	0.49732599	0.534111942	0.471139604
Vibrio natriegens	Healthy	Primary-bacterial-effect	facilitator_bacteria	0.004618938	0.005504357	0	0.011070111	0.041304772	0.02946593	0.031563381	0.056522696	0.037251281	0.026395671	0.031462671	0.021277089	0.021022273	0.069348653	0.028340059	0.020767458	0.021235306	0.033631623	0.051648224	0.036457397
Vibrio parahaemolyticus	Healthy	Primary-bacterial-effect	inhibitor_bacteria	0.176421258	0.146876131	0.174228978	0.223904361	0.230042982	0.189912291	0.265709983	0.249287081	0.245584766	1.097906683	0.333814632	0.417431079	0.413462536	0.39960801	0.355357724	0.33804432	0.248391789	0.319699758	0.245766265	0.287171715
Vibrio phage helene 12B3	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.010495572	0.024288675	0.006896552	0.027322404	0	0.006016323	0	0	0.005545604	0	0.003246753	0	0	0	0.018587361	0.003717472	0.003717472	0	0.017168739	0
Vibrio phage ICP1	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.002906977	0.011627907	0.005813953	0	0	0	0	0.002906977	0	0	0	0	0	0	0	0	0	0	0	0
Vibrio phage ICP2	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.02830772	0.005329341	0.003992016	0.005988024	0.004507889	0.010518407	0.006503897	0.010019162	0.006010518	0.006010518	0.006262588	0.015782505	0.009767092	0.012772352	0.007513148	0.009015778	0.009267847	0.009267847	0.015777611	0.013523666
Vibrio phage ICP2_2013_A_Haiti	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0.002493766	0.001246883	0.001246883	0.001246883	0.003740648	0.001246883	0.006234414	0.001246883	0.004987531	0.006234414	0.004987531	0.001246883	0.003740648	0	0.004987531	0.004987531
Vibrio phage nt-1	Healthy	Secondary-phage-effect	facilitator_associated_phage	0.013927577	0.008356546	0	0.005571031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vibrio phage phi-A318	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0	0	0	0	0.007092199	0	0	0.003546099	0.003546099	0.003546099	0	0	0	0	0	0.003546099	0	0.007092199	0
Vibrio phage qdvp001	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.019977802	0.017758047	0.018867925	0.004439512	0	0	0	0	0	0	0	0	0	0	0	0	0.001109878	0	0	0
Vibrio phage SSP002	Healthy	Secondary-phage-effect	facilitator_associated_phage	0.007490637	0.022587596	0.007606322	0.007606322	0.003861004	0.003861004	0.003861004	0	0	0	0	0	0	0	0	0	0	0	0.003861004	0
Vibrio phage vB_VchM-138	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.020075463	0.012215866	0.002197802	0.007820262	0.002197802	0	0	0.002197802	0	0	0	0.002197802	0.002197802	0.003424658	0	0	0.002197802	0	0.002197802	0.004395604
Vibrio phage vB_VpaS_MAR10	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.002777778	0	0	0	0.002777778	0.005555556	0.005555556	0.011111111	0.002331002	0.00510878	0.002777778	0.002331002	0.014879565	0.007439782	0.007439782	0.002777778	0.010664336	0.016666667	0.008333333	0.007439782
Vibrio phage VPp1	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0	0.006968641	0	0.003484321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vibrio splendidus	Healthy	Primary-bacterial-effect	inhibitor_bacteria	0.057443219	0.041307148	0.053888397	0.049684433	0.121186012	0.227125057	0.200303956	0.188029725	0.170170721	0.150101452	0.135215214	0.126254163	0.140938454	0.161252725	0.14950393	0.116269783	0.276862415	0.212576205	0.218361818	0.213824357
Vibrio vulnificus	Healthy	Primary-bacterial-effect	facilitator_bacteria	0.150710741	0.168437876	0.133069643	0.134663006	0.225760203	0.209569803	0.30744947	0.22791539	0.213658738	0.161061276	0.174955697	0.150942285	0.288976733	0.158455375	0.207975576	0.183194695	0.210927858	0.260948911	0.212365323	0.218169681
Xylella fastidiosa	Healthy	Primary-bacterial-effect	facilitator_bacteria	0.779640058	0.892685676	0.764235884	0.758808128	0.711771894	0.648101747	0.901517377	0.897206507	0.725071652	0.697663562	0.820853241	0.647000839	0.997216478	0.685848905	0.700330946	0.600221677	0.794691005	0.872402073	0.800824381	0.867936594
Xylella phage Salvo	Healthy	Secondary-phage-effect	facilitator_associated_phage	0.005687372	0.015120063	0.009341059	0.022696799	0	0	0	0	0	0	0	0	0.009375	0.00625	0.0125	0	0.003125	0	0	0.003125
Xylella phage Sano	Healthy	Secondary-phage-effect	facilitator_associated_phage	0.002076843	0.001038422	0.008815296	0.003115265	0.014854324	0.009118541	0.013626197	0.003773585	0	0.016665711	0.00754717	0.004812007	0.031369793	0.007396773	0.01593164	0.009624013	0.003623188	0.007509391	0	0.001038422
Yersinia enterocolitica	Healthy	Primary-bacterial-effect	inhibitor_bacteria	0.198679507	0.188127474	0.125926337	0.149535409	0.086276976	0.114454517	0.132291853	0.200795213	0.158104374	0.12935657	0.187090902	0.102537344	0.174211612	0.164515648	0.121148761	0.109059008	0.182558	0.161569358	0.176896389	0.154833352
Yersinia phage vB_YenP_AP5	Healthy	Secondary-phage-effect	inhibitor_associated_phage	0.002610966	0.00435161	0.002610966	0.002610966	0.002610966	0	0	0.001740644	0	0	0.001740644	0.000870322	0	0.002610966	0.001740644	0.001740644	0.001740644	0.000870322	0	0.000870322
